id,time,side,grade,pattern,entry,sl,tp1,rng10,body_p,htf,result,exit,pips
1780653442,2026-06-05 11:57,SHORT,A+,CRT sweep+reclaim,51649.3,,,28,3,"51656.8 (1H+4H+PDH, x3)",auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780654242,2026-06-05 12:10,LONG,C-into-zone,momentum impulse,51656.8,,,23,8,open,auto-skip,0.36,neg R:R 0.36 (TP1 < 0.8×SL)
1780657282,2026-06-05 13:01,LONG,C-into-zone,CRT sweep+reclaim,51652.8,,,22,1,open,auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL)
1780658919,2026-06-05 13:28,LONG,A+,CRT sweep+reclaim,51661.7,,,54,7,value-area high,auto-skip,1.43,dead chop ER0.14 (<0.2)
1780659286,2026-06-05 13:34,SHORT,A+,zone-bounce rejection,51658.6,51673.6,51633.6,55,8,"51656.8 (1H+4H+PDH, x3)",rejected,,"Counter-trend SHORT, off-session (US cash closed) thin tape, ER0.35 marginal (near chop), RSI 50 neutral, only 50p room. Discipline rejects counter-trend fades in off-session thin tape regardless of A+ stamp. No edge — skip."
1780664960,2026-06-05 15:09,LONG,A,CRT sweep+reclaim,51617,51599.5,51635.9,43,9,open,rejected,,"With-trend + NY session but R:R only ~1.08 (TP1 +18.9 vs SL -17.5) and just 36p room into structure, ER 0.33 marginal, grade A. Risking 17.5 to make 19 into a tight ceiling = no real edge. Need ≥1.5 R:R with real room. Skip."
1780665222,2026-06-05 15:13,SHORT,B (open space),CRT sweep+reclaim,51622.5,,,61,16,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780666431,2026-06-05 15:33,LONG,A,liquidity-sweep reversal,51577.8,51557.2,51607.2,146,34,open,rejected,,"ER 0.27 = CHOP (<0.3 floor) — hard reject. With-trend + R:R ok but a liquidity-sweep reversal in chop is a whipsaw, no edge. Wait for ER>0.3."
1780667381,2026-06-05 15:49,LONG,A+,CRT sweep+reclaim,51429,51403.2,51465.9,137,40,open,rejected,,"Held long @51429 is failing — price dropped to 51404, basically AT the SL 51403.2, sitting on nextS 51400, RSI 34 falling, signal dissipated (NO FAST SETUP). Price below all 1m EMAs despite 30m UP. About to stop — no edge. Skip."
1780667426,2026-06-05 15:50,LONG,A,CRT sweep+reclaim,51396.5,,,122,15,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780668274,2026-06-05 16:04,LONG,A+,CRT sweep+reclaim,51372.2,51347.3,51413.8,88,2,"51366.4 (1H+4H, x2)",rejected,,"Held long @51372 is STALE — price already ran +100p to 51471, through TP1 51413.8, RSI 35->55, signal dissipated. Real reversal but the move already happened; entering at 51372 now = chasing +100p. Skip."
1780669623,2026-06-05 16:27,LONG,A,CRT sweep+reclaim,51423.7,51394.0,51466.1,100,4,open,rejected,,"Failing long — price dropped 51423->51399 (5p above SL 51394) on a bear candle, RSI 44->39, price below ALL 1m EMAs despite 30m UP. At the stop, not reclaiming. Same pattern as prior US30 longs that stopped out today. Skip."
1780669649,2026-06-05 16:27,LONG,A,CRT sweep+reclaim,51408.1,51378.3,51457.8,110,7,open,rejected,,"~5th US30 CRT reclaim long today, now at a fresh lower price 51408 (was 51423/51429/51577) — same down-grind, price below all 1m EMAs, RSI 41. The 30m UP label keeps tagging these with-trend but the 1m makes lower lows and they fail/stop. Same pattern just chart-read a min ago. Skip until price reclaims structure (back above EMA50)."
1780669780,2026-06-05 16:29,LONG,A,CRT sweep+reclaim,51409.8,51380.0,51459.5,110,9,open,rejected,,"Same repeat US30 reclaim long @51410 — still the down-grind, RSI 42, no reclaim above EMA50. Identical to the one rejected a min ago. Skip until price reclaims structure."
1780670041,2026-06-05 16:34,LONG,A,CRT sweep+reclaim,51441.9,51407.8,51473.5,57,16,open,rejected,,"Negative R:R — TP1 +31.6 vs SL -34.1 (~0.93), risking more than the reward. Only 60p room, ER 0.38 marginal. With-trend doesn't fix neg R:R. Skip."
1780670793,2026-06-05 16:46,SHORT,B (open space),CRT sweep+reclaim,51449.4,51483.5,51406.7,60,6,open,rejected,,"Grade B counter-trend SHORT against the 30m UP regime, ER 0.31 marginal. Counter-trend B-grade fade — no edge. Skip."
1780672063,2026-06-05 17:07,SHORT,B (open space),support-trendline break,51385.4,,,79,25,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780673434,2026-06-05 17:30,LONG,A+,CRT sweep+reclaim,51403.9,51368.6,51454.3,55,11,open,rejected,,"~7th failing US30 reclaim long today — price already dropped 51403->51382 on a strong 17p BEAR candle, RSI 42 falling, below ALL EMAs (51412/40/89), heading to SL 51368, signal dissipated. Every US30 reclaim long today fails the same way: 30m UP label vs 1m grinding down below EMAs. Skip until price holds above EMA50."
1780674403,2026-06-05 17:46,LONG,A,CRT sweep+reclaim,51294.4,,,78,7,open,auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL)
1780675833,2026-06-05 18:10,SHORT,A,momentum impulse,51186.7,51212.3,51158.0,91,17,open,rejected,,"SHORT at RSI 21.1 = selling extreme capitulation, only 54p room. Textbook OB/OS chase into the low — high snap-back. Skip."
1780675839,2026-06-05 18:10,LONG,A+,zone-bounce rejection,51196.4,,,98,2,"51203.9 (1H+round, x2)",auto-skip,0.4,neg R:R 0.40 (TP1 < 0.8×SL); counter-DOWN no-room
1780676746,2026-06-05 18:25,LONG,B (open space),resistance-trendline break,51189.4,,,35,21,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780678353,2026-06-05 18:52,LONG,A+,zone-bounce rejection,51132.9,51105.7,51166.7,96,24,"51129.1 (4H+D, x2)",rejected,,"Unconfirmed bounce at the bottom — regime FLAT (no clear trend, not with-trend), price 51150 below ALL EMAs (51177/239/331), RSI 50 neutral, weak trigger (12p bull, strong=False, vol_ok=False, dissipated). ER1.0 is downside efficiency from the ~500pt drop. No structure reclaim. Need a hold above EMA50 51177 to confirm. Skip."
1780678653,2026-06-05 18:57,SHORT,B (open space),CRT sweep+reclaim,51173.2,51193.8,51152.4,106,4,open,rejected,,"Grade B, flat regime (no clear trend), only 40p room, R:R ~1.0. B-grade fade with no room/edge — skip."
1780678896,2026-06-05 19:01,SHORT,B (open space),CRT sweep+reclaim,51166.3,,,60,4,open,auto-skip,0.68,neg R:R 0.68 (TP1 < 0.8×SL)
1780679734,2026-06-05 19:15,LONG,B (open space),CRT sweep+reclaim,51146.2,51124.7,51180.9,43,5,open,rejected,,"Grade B, flat regime (no clear trend), below EMAs. B-grade — no edge, skip."
1780680274,2026-06-05 19:24,LONG,B (open space),CRT sweep+reclaim,51114.4,51093.6,51149.1,40,1,open,rejected,,"Grade B counter-trend long (DOWN, ER0.97 downside), fresh low. B-grade knife-catch — skip."
1780680700,2026-06-05 19:31,SHORT,A,CRT sweep+reclaim,51161.7,,,57,4,open,auto-skip,0.68,neg R:R 0.68 (TP1 < 0.8×SL)
1780682313,2026-06-05 19:58,LONG,B (open space),CRT sweep+reclaim,51160.4,51136.6,51194.5,40,9,open,rejected,,"Grade B counter-trend long (DOWN regime, ER0.62 downside). B-grade fade — skip."
1780682622,2026-06-05 20:03,SHORT,C-into-zone,momentum impulse,51134.5,,,58,18,open,auto-skip,0.34,neg R:R 0.34 (TP1 < 0.8×SL)
1780683334,2026-06-05 20:15,LONG,A+,zone-bounce rejection,51133.1,51110.6,51167.3,56,15,"51129.1 (4H+D, x2)",rejected,,"Counter-trend A+ long (DOWN regime), RSI 48 neutral, no confirmed reversal. ~10th US30 long today — they all fail the same way (bounce below EMAs loses the level). Skip until price reclaims and holds above EMA50."
1780683694,2026-06-05 20:21,LONG,B (open space),CRT sweep+reclaim,51102.3,51077.9,51137.1,86,2,open,rejected,,"Grade B counter-trend long at a fresh low (DOWN regime, ER0.62 downside). B-grade knife-catch — skip."
1780684353,2026-06-05 20:32,LONG,A+,CRT sweep+reclaim,51068.5,51043.6,51104.1,75,6,open,rejected,,"Counter-trend A+ long at a fresh low (DOWN regime), RSI 40, no confirmed reversal. ~11th failing US30 long today — bounce below EMAs loses the level every time. Skip until price reclaims/holds above EMA50."
1780686034,2026-06-05 21:00,LONG,B (open space),CRT sweep+reclaim,50946.6,50922.4,50983.4,105,11,open,rejected,,"Grade B counter-trend long at a fresh low (DOWN regime), RSI 37. B-grade knife-catch — skip."
1780687534,2026-06-05 21:25,LONG,A+,CRT sweep+reclaim,50829.9,50792.0,50867.8,117,3,"50822.7 (1H+4H, x2)",rejected,,"Counter-trend A+ long at a fresh low (DOWN regime), RSI 33 getting low, no confirmed reversal. ~12th failing US30 long today — bounce below EMAs loses the level. Skip until price reclaims/holds above EMA50."
1780688195,2026-06-05 21:36,SHORT,A,CRT sweep+reclaim,50869.2,,,69,18,open,auto-skip,0.77,neg R:R 0.77 (TP1 < 0.8×SL)
1780688914,2026-06-05 21:48,SHORT,A,CRT sweep+reclaim,50901.8,50925.8,50861.9,86,12,open,rejected,,"Bounce running it over — price rose to 50910 (above entry) on a 12p BULL candle, RSI 46.7->58.17, reclaimed above EMA50 (50895). nextS 50900 only ~10p below = limited room. Signal dissipated. Price pushing UP against the short, not rejecting. Skip — wait for a real rejection candle with room."
