id,time,side,grade,pattern,entry,sl,tp1,rng10,body_p,htf,result,exit,pips
1780650834,2026-06-05 11:13,LONG,A+,prior-day-high breakout,1.35,1.35,1.35,14,6,"1.34777 (1H+4H, x4)",rejected,,PDH breakout into RSI 76.5 (overbought) with only 14p room to next zone — chasing a fresh breakout extension with no room. 30m bias 'no clear trend' = possible false break in a range. Skip.
1780653266,2026-06-05 11:54,LONG,A+,momentum impulse,1.34642,,,3,1,"1.34297 (15m+1H+4H+D, x33)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL); counter-DOWN
1780653326,2026-06-05 11:55,LONG,A+,resistance-trendline break,1.34656,,,4,1,"1.34297 (15m+1H+4H+D, x33)",auto-skip,0.39,neg R:R 0.39 (TP1 < 0.8×SL)
1780654343,2026-06-05 12:12,LONG,A+,break-and-retest,1.34684,,,5,1,"1.34297 (15m+1H+4H+D, x33)",auto-skip,0.32,neg R:R 0.32 (TP1 < 0.8×SL)
1780654400,2026-06-05 12:13,LONG,A+,resistance-trendline break,1.34696,,,6,1,"1.34297 (15m+1H+4H+D, x33)",auto-skip,0.29,neg R:R 0.29 (TP1 < 0.8×SL)
1780665755,2026-06-05 15:22,SHORT,A+,momentum impulse,1.3415,,,12,4,"1.34196 (15m+1H+4H+PDL, x24)",auto-skip,0.32,neg R:R 0.32 (TP1 < 0.8×SL)
1780667043,2026-06-05 15:44,LONG,A+,CRT sweep+reclaim,1.3399,,,11,0,"1.33676 (4H+D, x2)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL)
1780667975,2026-06-05 15:59,SHORT,A+,momentum impulse,1.34025,,,8,3,"1.34196 (15m+1H+4H+PDL, x24)",auto-skip,0.65,neg R:R 0.65 (TP1 < 0.8×SL)
1780669897,2026-06-05 16:31,LONG,A+,momentum impulse,1.33882,,,10,2,"1.33676 (4H+D, x2)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL)
1780671339,2026-06-05 16:55,SHORT,A+,momentum impulse,1.33806,,,7,2,"1.34196 (15m+1H+4H+PDL, x24)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL)
1780672904,2026-06-05 17:21,SHORT,A+,momentum impulse,1.33718,,,6,2,"1.34196 (15m+1H+4H+PDL, x24)",auto-skip,0.24,neg R:R 0.24 (TP1 < 0.8×SL)
1780673974,2026-06-05 17:39,SHORT,A+,momentum impulse,1.33665,1.33915,1.33415,11,2,"1.34196 (15m+1H+4H+PDL, x24)",rejected,,"SHORT at RSI 25.5 = selling into deep oversold/capitulation. With-trend but chasing the breakdown low — discipline rejects selling RSI<30. High snap-back risk, only 60p room. Skip — wait for a pullback to short, not the capitulation low."
1780675476,2026-06-05 18:04,SHORT,A+,break-and-retest,1.33558,1.33808,1.33308,6,3,"1.34196 (15m+1H+4H+PDL, x24)",rejected,,"RSI 33.3 — GBP was at 25 oversold, only bounced to 33, still chasing the breakdown low (not a rally rejection). R:R only 1.0 (SL 25p = TP1 25p), 49p room. Chasing into oversold with break-even R:R — no edge. Wait for a real pullback to short."
